name,price
Acer Aspire 7 (A715-42G-R5C5) R5C5 | AMD Ryzen 5 5500U (6 cores) | NVIDIA RTX 3050 | 512gb SSD (PC Central),"₱42,998.00"
"Infinix INbook X1, Core i3-1005G1 - 14.0"" - 8GB + 256GB SSD - Intel HD Graphics - Win 10","₱19,999.00"
"Original Japan Quality Laptop Dell Latitude E6200 Windows 10 Pro Intel Core i5 2nd Generation, 4gb Ram, 320GB HDD, 12.6inches, USB Ports, HDMI, SATA Port, Airplane Mode, Bluetooth, Lan Port, Built In Speaker, Built In Wifi, Good Battery, Good Condition","₱9,299.00"
MSI Modern 15 A11M 11th Gen Core i7 16GB RAM 512GB SSD Carbon Gray 824142226292 with Free Mouse,"₱48,995.00"
Laptop 4  Core Processor ARM CPU （A64）Android 10 2GB RAM  16GB SSD   Students Learn Computer Computer(10.1-Inch) 4 Colors,"₱4,999.00"
【Special / original】Lenovo ThinkPad X260 Laptop 12.5 lED High Resolution Screen/Built-in Bluetooth/Built in Camera /Core i5 6th Dual-Core CPU /2.3-2.8GHz/16GB RAM /480GB SSD/Online courses Office gaming Laptop complete full Free gift bag,"₱22,899.00"
10.1inch Portable Netbook ACTIONS S500 1.5GHz ARM Cortex-A9/Android 5.1/1G+8G/1024*600 Pink EU Plug,"₱6,182.00"
HSK Vocabulary Workbook 2500 Words Chinese Proficiency Test Level 5 Vocabulary Learn Chinese Book,₱866.00
【spot goods】 laptop(Students Learn Computer )Quad Intel N3350(2.3GHZ) （To upgrade the configuration 2022）windows10 3 32 SSD Netbook 10.1 Inch Mini netbook laptop(57 Hours Battery Life),"₱17,060.00"
Logitech M221 Silent Wireless Mouse with Nano Receiver [Off-White],₱595.00
[One Year Warranty] Intel 4 Core CPU 12.5 Inch Laptop/office Computer/student Online Learning/4GB Memory 64GB SSD Hard Drive WIFI Bluetooth Camera Cost-effective Laptop 3 Colors To Choose From,"₱10,999.00"
2Pcs DC Charging Port Socket Connector For IdeaPad 310-15ISK 310-15IKB 310-15IAP,₱188.00
PS5 Marvel's Spider-Man Miles Morales Ultimate Ed (R3),"₱3,499.00"
SteelSeries Arctis Nova 3 Wired Gaming Headset - Black,"₱6,325.00"
◘♧❀ Slider 5 3 (100pcs) nickle and black,₱404.00
FINGER sleeve for gaming,₱7.00
20 Bays Hard Drive Protection Box 2.5 Inch Hard Drive Storage Box Suitcase,"₱2,134.00"
"Laptop 8GB RAM 128/256/512/1TB GB SSD Notebook Windows 10 Pro Intel J3455 Celeron Quad Core 15.6"" Display laptop WIFI BT HDMI","₱10,999.00"
Razer Kiyo Broadcasting Camera with Illumination,"₱3,150.00"
10.1'' Windows 10 Sales 2In1 Tablet PC RAM 2GB DDR3L+32GB HDMI-Compatible 10A 1280*800 IPS Gift Docking Keyboard,"₱9,582.00"
